万州/五桥,"30°46.5′,108°37.0′","30°43.0′,108°35.4′","30°45.5′,108°30.0′","30°44.4′,108°25.0′","30°44.7′,108°23.8′","30°48.6′,108°20.8′","30°49.7′,108°15.1′","30°53.4′,108°16.6′","30°50.7′,108°21.8′","30°52.0′,108°26.8′","30°51.5′,108°28.2′","30°47.6′,108°31.2′"
鄂尔多斯/伊金霍洛,"39°26.0′,110°03.4′","39°22.7′,110°00.5′","39°26.2′,109°55.7′","39°26.0′,109°49.9′","39°26.8′,109°48.1′","39°31.1′,109°45.9′","39°33.2′,109°39.7′","39°36.5′,109°42.6′","39°33.0′,109°47.6′","39°33.2′,109°53.4′","39°32.4′,109°55.1′","39°28.1′,109°57.4′"
重庆/江北,"29°53.0′,106°39.6′","29°51.7′,106°43.9′","29°47.0′,106°41.4′","29°42.8′,106°43.1′","29°41.1′,106°42.5′","29°38.4′,106°38.4′","29°33.3′,106°37.4′","29°34.6′,106°33.1′","29°39.1′,106°35.6′","29°43.5′,106°34.1′","29°45.0′,106°34.5′","29°47.9′,106°38.6′"
金昌/金川,"38°28.3′,102°32.1′","38°25.2′,102°29.0′","38°28.8′,102°24.5′","38°29.1′,102°18.8′","38°30.1′,102°17.0′","38°34.4′,102°15.6′","38°36.9′,102°09.7′","38°40.1′,102°12.8′","38°36.3′,102°17.3′","38°36.0′,102°23.0′","38°35.0′,102°24.8′","38°30.7′,102°26.2′"
铜仁/凤凰,"28°01.4′,109°24.2′","27°58.7′,109°27.6′","27°55.5′,109°23.1′","27°51.0′,109°22.3′","27°50.0′,109°21.4′","27°49.1′,109°16.3′","27°45.0′,109°13.2′","27°47.5′,109°09.8′","27°50.9′,109°14.3′","27°55.2′,109°15.1′","27°56.2′,109°16.0′","27°57.1′,109°21.1′"
银川/河东,"38°10.0′,106°19.5′","38°12.0′,106°15.2′","38°15.8′,106°19.2′","38°20.2′,106°18.6′","38°22.1′,106°20.1′","38°23.8′,106°25.1′","38°28.5′,106°27.7′","38°26.5′,106°32.1′","38°22.6′,106°28.0′","38°18.3′,106°28.5′","38°16.6′,106°27.2′","38°14.6′,106°21.8′"
锡林浩特,"44°04.1′,116°01.6′","44°02.1′,116°06.2′","43°58.0′,116°02.0′","43°53.5′,116°02.7′","43°52.3′,116°01.7′","43°50.2′,115°56.0′","43°45.4′,115°53.8′","43°47.2′,115°49.1′","43°51.3′,115°53.3′","43°55.9′,115°52.4′","43°57.3′,115°53.4′","43°59.1′,115°59.1′"
锦州/锦州湾,"41°05.3′,121°20.7′","41°03.1′,121°25.2′","40°59.3′,121°21.0′","40°54.7′,121°21.5′","40°53.4′,121°20.3′","40°51.8′,121°15.1′","40°47.1′,121°12.3′","40°49.1′,121°08.0′","40°53.1′,121°12.3′","40°57.5′,121°11.8′","40°58.8′,121°12.7′","41°00.4′,121°18.1′"
长春/龙嘉,"44°07.6′,125°49.5′","44°04.6′,125°53.1′","44°01.9′,125°47.0′","43°57.4′,125°45.4′","43°56.4′,125°43.6′","43°56.0′,125°37.4′","43°52.1′,125°32.8′","43°55.1′,125°29.2′","43°57.7′,125°35.4′","44°02.2′,125°36.7′","44°03.3′,125°38.5′","44°03.7′,125°44.8′"
长沙/黄花,"28°21.1′,113°10.3′","28°21.3′,113°14.9′","28°16.0′,113°14.2′","28°12.5′,113°17.5′","28°10.8′,113°17.6′","28°07.0′,113°14.9′","28°02.1′,113°16.1′","28°01.9′,113°11.5′","28°07.1′,113°12.2′","28°10.5′,113°09.0′","28°12.1′,113°08.9′","28°16.0′,113°11.6′"
阿克苏/温宿,"41°17.1′,080°30.2′","41°13.0′,080°29.8′","41°14.3′,080°23.0′","41°11.8′,080°18.1′","41°12.1′,080°16.1′","41°14.8′,080°11.6′","41°14.6′,080°04.6′","41°18.5′,080°05.0′","41°17.2′,080°11.8′","41°19.7′,080°16.7′","41°19.6′,080°18.7′","41°16.7′,080°23.4′"
阿勒泰,"47°42.2′,088°18.5′","47°38.9′,088°15.7′","47°42.0′,088°09.8′","47°41.3′,088°03.2′","47°42.1′,088°01.5′","47°46.1′,087°58.6′","47°47.7′,087°51.6′","47°51.3′,087°54.4′","47°48.0′,088°00.5′","47°48.6′,088°07.1′","47°48.0′,088°08.5′","47°44.0′,088°11.5′"
阿尔山/伊尔施,"47°23.2′,120°07.1′","47°19.6′,120°08.8′","47°18.7′,120°01.3′","47°15.1′,119°57.2′","47°14.7′,119°55.4′","47°16.3′,119°49.2′","47°14.1′,119°42.4′","47°17.8′,119°40.8′","47°18.6′,119°48.1′","47°22.0′,119°52.2′","47°22.4′,119°54.1′","47°21.0′,120°00.1′"
青岛/流亭,"36°07.2′,120°27.7′","36°06.2′,120°23.0′","36°11.2′,120°22.5′","36°14.2′,120°18.1′","36°15.8′,120°17.7′","36°20.0′,120°19.7′","36°24.9′,120°17.2′","36°25.7′,120°21.8′","36°20.6′,120°22.6′","36°17.7′,120°26.7′","36°16.1′,120°27.4′","36°11.8′,120°25.4′"
鞍山/腾鳌,"41°16.1′,122°51.7′","41°15.1′,122°56.6′","41°10.2′,122°54.1′","41°06.0′,122°56.3′","41°04.8′,122°55.7′","41°01.8′,122°51.2′","40°56.8′,122°50.5′","40°57.6′,122°45.5′","41°02.5′,122°48.1′","41°06.7′,122°46.1′","41°08.1′,122°46.5′","41°10.9′,122°51.1′"
鸡西/兴凯湖,"45°16.3′,131°25.1′","45°12.6′,131°23.1′","45°15.1′,131°16.6′","45°13.7′,131°10.5′","45°14.3′,131°08.8′","45°18.0′,131°05.3′","45°19.0′,130°58.1′","45°22.7′,131°00.2′","45°20.1′,131°06.6′","45°21.3′,131°12.7′","45°21.1′,131°14.2′","45°17.2′,131°17.9′"
黄山/屯溪,"29°39.8′,118°25.2′","29°36.7′,118°22.6′","29°40.3′,118°18.4′","29°40.6′,118°13.4′","29°41.5′,118°12.1′","29°45.8′,118°10.5′","29°48.3′,118°05.4′","29°51.4′,118°08.3′","29°47.7′,118°12.2′","29°47.4′,118°17.5′","29°46.5′,118°18.8′","29°42.2′,118°20.1′"
黎平,"26°25.7′,109°17.0′","26°22.3′,109°19.0′","26°20.3′,109°13.8′","26°16.2′,109°11.7′","26°15.8′,109°10.4′","26°16.3′,109°05.5′","26°13.1′,109°01.0′","26°16.4′,108°58.8′","26°18.2′,109°04.3′","26°22.3′,109°06.4′","26°23.1′,109°07.4′","26°22.4′,109°12.3′"
黑河/瑷珲,"50°02.4′,127°27.0′","50°01.0′,127°21.4′","50°05.8′,127°19.4′","50°08.3′,127°13.6′","50°09.5′,127°12.6′","50°13.7′,127°14.1′","50°18.1′,127°10.1′","50°19.8′,127°15.7′","50°14.8′,127°17.7′","50°12.5′,127°23.5′","50°11.3′,127°24.5′","50°06.8′,127°22.8′"
黔江/武陵山,"29°38.6′,108°56.6′","29°40.1′,108°52.4′","29°35.2′,108°50.7′","29°33.2′,108°46.2′","29°32.0′,108°45.5′","29°27.6′,108°46.6′","29°23.2′,108°43.3′","29°21.5′,108°47.4′","29°26.4′,108°49.1′","29°28.7′,108°53.6′","29°29.8′,108°54.1′","29°34.2′,108°53.3′"
齐齐哈尔/三家子,"47°06.3′,124°02.8′","47°05.1′,123°57.4′","47°10.0′,123°55.7′","47°12.4′,123°50.2′","47°13.7′,123°49.6′","47°18.1′,123°51.0′","47°22.5′,123°47.2′","47°23.8′,123°52.6′","47°18.8′,123°54.3′","47°16.5′,123°60.0′","47°15.2′,124°00.6′","47°10.7′,123°59.0′"
